,portfolio,investment,cash
2020-04-27 09:15:00,172312.76030883993,128038.17384325997,44274.586465579974
2020-04-28 09:15:00,172498.36803438998,172241.23156881,257.1364655799698
2020-04-29 09:15:00,175289.49518518997,175032.35871961,257.1364655799698
2020-04-30 09:15:00,180149.84336751996,179892.70690194,257.1364655799698
2020-05-04 09:15:00,173836.90120164998,127929.06580744001,45907.835394209964
2020-05-05 09:15:00,173096.60055699994,127188.76516278998,45907.835394209964
2020-05-06 09:15:00,173459.02139616996,127551.18600196,45907.835394209964
2020-05-07 09:15:00,172921.67201888002,127756.38073587004,45165.29128300997
2020-05-08 09:15:00,172476.58788977,127311.29660676,45165.29128300997
2020-05-11 09:15:00,172441.19663559995,127275.90535259,45165.29128300997
2020-05-12 09:15:00,171569.63395486993,128570.73247543997,42998.901479429966
2020-05-13 09:15:00,174781.67937746996,131782.77789804,42998.901479429966
2020-05-14 09:15:00,173507.96285198,130509.06137255003,42998.901479429966
2020-05-15 09:15:00,173480.43356722998,130628.78534518,42851.64822204997
2020-05-18 09:15:00,168997.82648417994,126146.17826212998,42851.64822204997
2020-05-19 09:15:00,170060.69693421997,169905.44876217,155.2481720499636
2020-05-20 09:15:00,171482.16851048,128300.24138319003,43181.927127289964
2020-05-21 09:15:00,172658.49709833,129476.56997104002,43181.927127289964
2020-05-22 09:15:00,171913.55648514995,128731.62935786,43181.927127289964
2020-05-26 09:15:00,172392.56512495,128651.43158291002,43741.13354203996
2020-05-27 09:15:00,173698.64448620996,129957.51094417,43741.13354203996
2020-05-28 09:15:00,176608.3949558699,132867.26141382995,43741.13354203996
2020-05-29 09:15:00,178846.57663114,134314.81379309003,44531.76283804997
2020-06-01 09:15:00,182622.00416159,138090.24132354005,44531.76283804997
2020-06-02 09:15:00,184943.62809319003,140411.86525514006,44531.76283804997
2020-06-03 09:15:00,186752.58876289998,137611.14370062,49141.44506227996
2020-06-04 09:15:00,186577.33644277995,137435.8913805,49141.44506227996
2020-06-05 09:15:00,190560.84643335995,141419.40137108,49141.44506227996
2020-06-08 09:15:00,192688.70338022994,140926.64636721998,51762.057013009966
2020-06-09 09:15:00,193081.00828493995,192572.70132192998,508.3069630099635
2020-06-10 09:15:00,194315.30563126996,193806.99866826,508.3069630099635
2020-06-11 09:15:00,192158.47490941995,142014.50155492997,50143.973354489965
2020-06-12 09:15:00,192222.5124655199,142078.53911102994,50143.973354489965
2020-06-15 09:15:00,191851.0002705499,141707.02691605996,50143.973354489965
2020-06-16 09:15:00,192019.57232664997,142499.50751638002,49520.06481026996
2020-06-17 09:15:00,192546.4877953499,143026.42298507993,49520.06481026996
2020-06-18 09:15:00,195444.91470197,145924.84989170003,49520.06481026996
2020-06-19 09:15:00,196832.81582376995,148846.73804797,47986.07777579996
2020-06-22 09:15:00,199947.13639988998,151961.05862409002,47986.07777579996
2020-06-23 09:15:00,202981.9688021599,154995.89102635995,47986.07777579996
2020-06-24 09:15:00,200864.46049449,152652.63024838004,48211.83024610996
2020-06-25 09:15:00,201641.37563351993,153429.54538740998,48211.83024610996
2020-06-26 09:15:00,202745.92637779997,154534.09613169002,48211.83024610996
2020-06-29 09:15:00,200575.62212686992,199777.54188075996,798.0802461099593
2020-06-30 09:15:00,200621.52675825,199823.44651214004,798.0802461099593
2020-07-01 09:15:00,200849.25267021,200051.17242410005,798.0802461099593
2020-07-02 09:15:00,202029.45258292,152102.24256441003,49927.21001850996
2020-07-03 09:15:00,202675.86937940997,152748.6593609,49927.21001850996
2020-07-06 09:15:00,205492.43991007996,155565.22989157,49927.21001850996
2020-07-07 09:15:00,205800.52821817994,154326.39129615,51474.13692202996
2020-07-08 09:15:00,205127.60068556998,153653.46376354003,51474.13692202996
2020-07-09 09:15:00,205885.69695815997,154411.56003613002,51474.13692202996
2020-07-10 09:15:00,205514.19558886994,154213.8988377,51300.29675116996
2020-07-13 09:15:00,205455.29575327,154154.99900210006,51300.29675116996
2020-07-14 09:15:00,203149.83793604997,151849.54118488,51300.29675116996
2020-07-15 09:15:00,202577.90164380995,149511.90367221998,53065.99797158996
2020-07-16 09:15:00,202825.40555231,149759.40758072003,53065.99797158996
2020-07-17 09:15:00,207040.42047254997,206200.82250096003,839.5979715899593
2020-07-20 09:15:00,209385.9273104099,157477.73604165995,51908.19126874996
2020-07-21 09:15:00,209912.05754270992,158003.86627395995,51908.19126874996
2020-07-22 09:15:00,209605.87964496,157697.68837621002,51908.19126874996
2020-07-23 09:15:00,210883.2869674499,158444.36552991995,52438.921437529956
2020-07-24 09:15:00,209997.92899085997,157559.00755333,52438.921437529956
2020-07-27 09:15:00,208401.24717792997,155962.3257404,52438.921437529956
2020-07-28 09:15:00,209441.99173033994,158109.32584022,51332.665890119955
2020-07-29 09:15:00,209931.1955364999,158598.52964637996,51332.665890119955
2020-07-30 09:15:00,209519.35514470993,158186.68925459,51332.665890119955
2020-07-31 09:15:00,210206.54994400995,159475.68647543,50730.863468579955
2020-08-03 09:15:00,211463.25184094996,160732.38837237,50730.863468579955
2020-08-04 09:15:00,213701.23915601996,162970.37568744,50730.863468579955
2020-08-05 09:15:00,214482.99723302998,161395.94783029004,53087.049402739955
2020-08-06 09:15:00,216705.98302418995,215520.23356145,1185.7494627399574
